Date,Precipitation
1984-01-31,259.3
1984-02-29,32.5
1984-03-31,54
1984-04-30,96.8
1984-05-31,113
1984-06-30,0.1
1984-07-31,26.7
1984-08-31,110.6
1984-09-30,162.5
1984-10-31,31.1
1984-11-30,140
1984-12-31,139.6
1985-01-31,190.1
1985-02-28,281.4
1985-03-31,166.9
1985-04-30,31.4
1985-05-31,107.2
1985-06-30,14.2
1985-07-31,0.6
1985-08-31,21.6
1985-09-30,110.1
1985-10-31,11.2
1985-11-30,86
1985-12-31,176.3
1986-01-31,250.7
1986-02-28,268.4
1986-03-31,230.6
1986-04-30,84.9
1986-05-31,84.6
1986-06-30,2.4
1986-07-31,28.1
1986-08-31,97.2
1986-09-30,34.7
1986-10-31,43.9
1986-11-30,155.6
1986-12-31,383.2
1987-01-31,442.3
1987-02-28,177.5
1987-03-31,178.5
1987-04-30,91.5
1987-05-31,241.2
1987-06-30,195.9
1987-07-31,10.7
1987-08-31,17.4
1987-09-30,59.2
1987-10-31,89.9
1987-11-30,96.1
1987-12-31,146.3
1988-01-31,293.4
1988-02-29,284.7
1988-03-31,203.6
1988-04-30,173.4
1988-05-31,210.8
1988-06-30,58.8
1988-07-31,2.2
1988-08-31,2.6
1988-09-30,34.7
1988-10-31,170.1
1988-11-30,85.7
1988-12-31,279.6
1989-01-31,359.2
1989-02-28,326.5
1989-03-31,185.1
1989-04-30,96.2
1989-05-31,30.4
1989-06-30,44.4
1989-07-31,144.7
1989-08-31,32.3
1989-09-30,82.2
1989-10-31,65.4
1989-11-30,82.4
1989-12-31,121.7
1990-01-31,280.7
1990-02-28,152.8
1990-03-31,228.8
1990-04-30,77.1
1990-05-31,52.8
1990-06-30,39.2
1990-07-31,121
1990-08-31,49.6
1990-09-30,96.1
1990-10-31,117.6
1990-11-30,76
1990-12-31,124.7
1991-01-31,270.7
1991-02-28,358
1991-03-31,451.3
1991-04-30,169
1991-05-31,34.2
1991-06-30,85.8
1991-07-31,26.2
1991-08-31,39.3
1991-09-30,65.6
1991-10-31,153.9
1991-11-30,48
1991-12-31,220.6
1992-01-31,203.4
1992-02-29,184
1992-03-31,273.7
1992-04-30,59.3
1992-05-31,71.4
1992-06-30,18.6
1992-07-31,39.1
1992-08-31,25.8
1992-09-30,180.6
1992-10-31,177.5
1992-11-30,213.8
1992-12-31,201
1993-01-31,248.7
1993-02-28,265.6
1993-03-31,92.5
1993-04-30,118.4
1993-05-31,101.2
1993-06-30,57.5
1993-07-31,15.2
1993-08-31,52.1
1993-09-30,206.7
1993-10-31,148.5
1993-11-30,96.2
1993-12-31,180.3
1994-01-31,231.9
1994-02-28,170.8
1994-03-31,252.3
1994-04-30,99.9
1994-05-31,40.7
1994-06-30,31.9
1994-07-31,26.1
1994-08-31,3.1
1994-09-30,1.3
1994-10-31,126.8
1994-11-30,122.8
1994-12-31,311.1
1995-01-31,379
1995-02-28,445.5
1995-03-31,304.1
1995-04-30,64.9
1995-05-31,74.4
1995-06-30,58.7
1995-07-31,47.1
1995-08-31,16.7
1995-09-30,41.5
1995-10-31,229.9
1995-11-30,97.7
1995-12-31,202
1996-01-31,354.9
1996-02-29,305.6
1996-03-31,396.8
1996-04-30,81.7
1996-05-31,33.1
1996-06-30,54.1
1996-07-31,7.2
1996-08-31,31.6
1996-09-30,178.9
1996-10-31,154
1996-11-30,93.9
1996-12-31,331.4
1997-01-31,313.3
1997-02-28,181.1
1997-03-31,76
1997-04-30,71.6
1997-05-31,75
1997-06-30,122.5
1997-07-31,10
1997-08-31,22.3
1997-09-30,140.9
1997-10-31,96.1
1997-11-30,220.1
1997-12-31,255.4
1998-01-31,200.6
1998-02-28,394.2
1998-03-31,252.9
1998-04-30,92.8
1998-05-31,130
1998-06-30,16.1
1998-07-31,10.1
1998-08-31,42.5
1998-09-30,95
1998-10-31,216.4
1998-11-30,38.6
1998-12-31,241.2
1999-01-31,319.1
1999-02-28,369.8
1999-03-31,187.3
1999-04-30,35.8
1999-05-31,35.5
1999-06-30,84.3
1999-07-31,25.6
1999-08-31,1.4
1999-09-30,80.1
1999-10-31,62
1999-11-30,101.4
1999-12-31,74.6
2000-01-31,328.3
2000-02-29,246.6
2000-03-31,100.1
2000-04-30,6.3
2000-05-31,9.3
2000-06-30,12.2
2000-07-31,65.6
2000-08-31,86.3
2000-09-30,111.1
2000-10-31,59
2000-11-30,186
2000-12-31,249.7
2001-01-31,144.2
2001-02-28,290.1
2001-03-31,138.5
2001-04-30,32.9
2001-05-31,86.1
2001-06-30,24.5
2001-07-31,41
2001-08-31,32.8
2001-09-30,88.5
2001-10-31,204.3
2001-11-30,185.2
2001-12-31,187
2002-01-31,284.8
2002-02-28,172.5
2002-03-31,326.5
2002-04-30,53.5
2002-05-31,93
2002-06-30,1.3
2002-07-31,22.9
2002-08-31,46.4
2002-09-30,54.8
2002-10-31,124.9
2002-11-30,226.5
2002-12-31,235.3
2003-01-31,317.2
2003-02-28,109.4
2003-03-31,126.5
2003-04-30,45.6
2003-05-31,33.1
2003-06-30,16
2003-07-31,19
2003-08-31,25.3
2003-09-30,34.5
2003-10-31,126.7
2003-11-30,99.3
2003-12-31,139.8
2004-01-31,284.5
2004-02-29,335.6
2004-03-31,130.7
2004-04-30,123.4
2004-05-31,60.1
2004-06-30,66.8
